Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
"Crackers, whole-wheat, matzo",1,0,0,0,351,1.5,13.1,4.65,23,2,316,78.9,11.8,0,0
"Soup, dry, cubed, beef broth",1,0,0,0,170,4,17.3,2.23,60,24000,403,16.1,0,0,14.51
"Puddings, ready-to-eat, rice",1,0,0,0,108,2.2,3.23,0.11,95,97,125,18.39,0.3,0,11.59
"Pectin, dry mix, unsweetened",1,1,0,0,325,0.3,0.3,2.71,7,200,7,90.4,8.6,0,0
"Candies, CARAMELLO Candy Bar",0,1,1,1,462,21,6.19,1.09,213,122,341,63.81,1.2,0,56.92
"Veal, raw, external fat only",0,1,1,1,503,52,8.85,0.73,31,89,107,0.89,0,220,0
"Seeds, raw, breadfruit seeds",0,0,1,1,191,5.6,7.4,3.67,36,25,941,29.24,5.2,0,0
"Mushrooms, stir-fried, white",0,1,1,1,26,0.3,3.58,0.25,4,12,396,4.04,1.8,8,0
"Snacks, rolls, fruit leather",0,1,1,0,371,3,0.1,1.01,32,317,294,85.8,0,0,49.16
"Sauce, thin, white, homemade",0,0,1,1,105,6.7,3.77,0.21,126,328,163,7.4,0.1,49,4.78
"Sauce, ready-to-serve, salsa",0,0,1,1,29,0.2,1.52,0.42,30,711,275,6.64,1.9,0,4.01
"Peppers, raw, red, hot chili",0,1,1,0,40,0.4,1.87,1.03,14,9,322,8.81,1.5,0,5.3
"Squash, raw, scallop, summer",0,0,1,1,18,0.2,1.2,0.4,19,1,182,3.84,1.2,0,2.39
"Currants, raw, red and white",0,0,1,1,56,0.2,1.4,1,33,1,275,13.8,4.3,0,7.37
"Crustaceans, raw, blue, crab",1,1,1,0,87,1.1,18.06,0.74,89,293,329,0.04,0,0,0
"Pie fillings, cherry, canned",0,1,1,1,115,0.1,0.37,0.24,11,18,105,28,0.6,0,0
"Yogurt, nonfat, plain, Greek",0,1,1,1,59,0.4,10.19,0.07,110,36,141,3.6,0,0,3.24
"Crackers, reduced fat, wheat",0,1,1,1,444,13,9.34,5.02,80,776,210,71.52,3.4,0,15.01
"Gravy, powder, dry, mushroom",1,0,0,1,328,4,10,1,230,6580,262,64.66,4.8,0,3.26
"Gravy, dry, unspecified type",1,0,0,0,344,8,13,1,150,5730,262,58,0,0,0
"Seeds, low-fat, sesame flour",1,0,1,0,333,1.8,50.14,14.22,149,39,397,35.51,0,0,0
"Mushrooms, microwaved, white",0,0,1,0,35,0.5,3.91,0.33,6,17,488,6.04,2.5,11,0
"Beverages, AMP, Energy drink",0,0,1,0,46,0.1,0.25,0.02,13,27,3,12.08,0,0,12.08
SILK Black Cherry soy yogurt,0,0,1,0,88,1.2,2.35,0.64,176,12,0,17.06,0.6,0,11.76
"Snack, original bar, BALANCE",0,0,1,0,415,12,28,10.9,543,253,678,48.73,3.1,65,34.89
"Beverages, well, tap, water",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysanthemum, raw, garland",0,0,1,0,24,0.6,3.36,2.29,117,118,567,3.02,3,0,0
"Stew, moose (Alaska Native)",0,1,1,,55,0.5,6.6,1.52,12,222,100,6,0.5,0,0
"Ice creams, rich, chocolate",1,0,0,0,251,17,4.72,1.02,142,57,238,19.78,0.9,12,17.35
"Oil, walrus (Alaska Native)",1,0,0,0,900,100,0,0,0,0,0,0,0,0,0
"Grapefruit juice, raw, pink",0,1,1,0,39,0.1,0.5,0.2,9,1,162,9.2,0,0,0
"Babyfood, junior, ham, meat",1,0,0,0,97,3.8,11.3,1.01,5,44,210,3.7,0,18,0
"Radish seeds, raw, sprouted",0,1,1,0,43,2.5,3.81,0.86,51,6,86,3.6,0,0,0
"MORI-NU, firm, silken, Tofu",0,1,1,0,62,2.7,6.9,1.03,32,36,194,2.4,0.1,0,1.27
"MORI-NU, soft, silken, Tofu",0,1,1,0,55,2.7,4.8,0.82,31,5,180,2.9,0.1,0,1.31
"Bread, rye, reduced-calorie",1,0,0,0,203,2.9,9.1,3.1,76,513,98,40.5,12,0,2.29
"Snacks, air-popped, popcorn",1,0,0,0,387,4.5,12.94,3.19,7,8,329,77.78,14.5,0,0.87
"Muffins, dry mix, blueberry",1,1,1,0,293,3.3,3.48,1.62,18,479,48,61,1.4,0,32.73
"Frankfurter, unheated, beef",0,0,1,0,316,28,11.16,1.2,12,992,316,3.36,0,36,1.31
"Turkey, raw, giblets, whole",1,0,0,0,124,5.1,18.18,5.92,18,136,198,0.07,0,34,0
"Corn pudding, home prepared",1,0,1,0,131,5,4.42,0.53,39,282,176,16.97,1.2,22,6.59
"Popovers, enriched, dry mix",1,0,0,0,371,4.3,10.4,2.97,32,906,100,71,0,0,0
"Soybeans, raw, mature seeds",0,1,1,0,446,20,36.49,15.7,277,2,1797,30.16,9.3,0,7.33
"Beef sausage, cooked, fresh",1,0,0,0,332,28,18.21,1.57,11,813,258,0.35,0,18,0
"Luncheon meat, canned, pork",0,1,1,0,334,30,12.5,0.72,6,1289,215,2.1,0,22,0
"MURRAY, Vanilla Sugar Wafer",1,0,0,0,527,26,3.9,1.8,0,92,42,70,1,0,41
"Radishes, raw, white icicle",0,1,1,0,14,0.1,1.1,0.8,27,16,280,2.63,1.4,0,0
"Vinespinach, raw, (basella)",1,0,0,0,19,0.3,1.8,1.2,109,24,510,3.4,0,0,0
"Syrups, high-fructose, corn",0,1,1,0,281,0,0,0.03,0,2,0,76,0,0,75.65
"Stew, steamed corn (Navajo)",0,1,1,1,112,3.8,8.82,1.1,22,104,177,10.8,2.3,0,0.51
"OSCAR MAYER, Bologna (beef)",0,0,1,1,316,29,11.05,1.36,12,1179,168,2.45,0,32,1.4
"Ostrich, raw, outside strip",0,0,1,0,120,2.2,23.36,3.69,5,70,333,0,0,0,0
"Milk, fluid, indian buffalo",0,0,1,0,97,6.9,3.75,0.12,169,52,178,5.18,0,0,0
"Nuts, dried, black, walnuts",0,1,1,0,619,59,24.06,3.12,61,2,523,9.58,6.8,0,1.1
"ON THE BORDER, Mexican rice",0,1,1,1,195,4.9,3.56,1.18,39,677,131,34.15,1.1,0,1.38
"Mushrooms, raw, Chanterelle",0,1,1,0,38,0.5,1.49,3.47,15,9,506,6.86,3.8,212,1.16
"McDONALD'S, Baked Apple Pie",0,1,1,1,323,16,3.07,1.99,19,199,63,43.62,2,0,17.25
"McDONALD'S, Sausage Biscuit",0,1,1,0,376,25,9.62,2.01,55,875,177,27.2,1.2,0,1.97
"CHICK-FIL-A, Chick-n-Strips",0,1,1,0,228,11,21.4,0.97,25,577,497,10.39,0.9,0,1.24
"Edamame, unprepared, frozen",1,0,1,0,109,4.7,11.22,2.11,60,6,482,7.61,4.8,0,2.48
"Mollusks, raw, blue, mussel",1,0,1,0,86,2.2,11.9,3.95,26,286,320,3.69,0,0,0
"Quail, total edible, cooked",1,1,1,0,227,14,25.1,4.43,15,52,216,0,0,8,0
"Cereals, dry, CREAM OF RICE",1,1,1,0,370,0.5,6.3,28.44,5,6,143,82.4,0.7,0,0.3
"LEAN POCKETS, Ham N Cheddar",1,0,0,0,230,6.5,10.28,2.15,196,423,203,32.52,1.7,10,7.6
"Snacks, tropical, trail mix",0,1,1,0,442,17,6.3,2.64,57,95,709,65.6,0,0,0
"Nuts, full fat, acorn flour",1,1,1,0,501,30,7.49,1.21,43,0,712,54.65,0,0,0
"Sauce, ready-to-serve, fish",1,1,1,0,35,0,5.06,0.78,43,7851,288,3.64,0,0,3.64
"Fish, raw, european, turbot",1,0,0,0,95,3,16.05,0.36,18,150,238,0,0,0,0
"Fast foods, caramel, sundae",0,1,1,0,196,6,4.71,0.14,122,126,205,31.81,0,0,0
"Pie fillings, canned, apple",1,1,1,0,100,0.1,0.1,0.29,4,47,45,26.1,1,0,13.8
"Sauce, ready-to-serve, plum",1,0,0,0,184,1,0.89,1.43,12,538,259,42.81,0.7,0,0
"Ostrich, cooked, inside leg",0,1,1,0,141,1.9,29.01,3.12,6,83,352,0,0,0,0
"Gravy, mushroom, CAMPBELL'S",1,0,0,0,34,1.7,0,0,0,0,0,5.08,0,0,1.69
"Snacks, smoked, beef sticks",1,1,1,0,550,50,21.5,3.4,68,1531,257,5.4,0,0,0
"Cheese, whole milk, ricotta",1,0,0,1,174,13,11.26,0.38,207,84,105,3.04,0,10,0.27
SILK French Vanilla Creamer,1,1,0,0,133,6.7,0,0,0,67,0,20,0,0,20
"Bread, canned, boston brown",1,1,1,0,195,1.5,5.2,2.1,70,631,318,43.3,4.7,0,2.42
"Cheese, queso blanco, white",0,1,1,0,310,24,20.38,0.18,690,704,126,2.53,0,27,1.76
"Cheese, queso fresco, fresh",1,0,0,0,299,24,18.09,0.2,566,751,129,2.98,0,110,2.32
"Beverages, powder, Lemonade",1,1,1,0,376,1.1,0,0.19,20,51,147,97.57,0.4,0,94.7
"Apricots, sweetened, frozen",1,0,0,0,98,0.1,0.7,0.9,10,4,229,25.1,2.2,0,0
"Muffins, toaster-type, corn",1,0,0,0,346,11,5.3,1.47,19,430,92,57.9,1.6,0,0
"Tomatoes, cooked, ripe, red",1,0,0,0,18,0.1,0.95,0.68,11,11,218,4.01,0.7,0,2.49
"Squash, raw, baby, zucchini",0,1,1,0,21,0.4,2.71,0.79,21,3,459,3.11,1.1,0,0
HORMEL Canadian Style Bacon,0,1,1,1,122,4.9,16.88,0.9,6,1016,279,1.87,0,0,1.43
"McDONALD'S, QUARTER POUNDER",1,0,0,0,244,12,14.1,2.41,84,427,227,22.17,1.6,0,5.13
"Brotwurst, link, beef, pork",0,1,1,0,323,28,14.3,1.03,48,1112,281,2.98,0,11,2.98
"Pork, cooked, ground, fresh",0,1,1,0,297,21,25.69,1.29,22,73,362,0,0,21,0
"Sausage, raw, pork, Italian",0,1,1,0,346,31,14.25,1.18,18,731,253,0.65,0,0,0
Ham and cheese loaf or roll,1,0,0,0,241,19,13.6,0.91,58,1000,294,4,0,44,0
"CRACKER BARREL, steak fries",1,0,0,0,255,13,3.26,0.69,19,43,551,30.87,3.5,0,0.86
"McDONALD'S, Sausage Burrito",1,0,0,0,277,16,11.1,2.28,132,744,150,22.97,1.2,0,2.57
"Candies, CHUNKY Bar, NESTLE",1,1,0,0,475,28,7.5,0.9,100,38,0,60,2.5,0,52.5
"Fish, raw, freshwater, drum",0,1,1,1,119,4.9,17.54,0.9,60,75,275,0,0,0,0
"Pate, canned, chicken liver",0,1,1,1,201,13,13.45,9.19,10,386,95,6.55,0,0,0
"BURGER KING, Chicken Strips",0,0,1,1,292,15,18.2,0.62,13,859,315,20.49,1.3,0,0
"Pork raw, salt pork",0,1,1,1,748,81,5.05,0.44,6,2684,66,0,0,9,0
"Cereals ready-to-eat, ALPEN",0,1,1,0,352,3.3,11.2,3,147,27,418,75.7,9.1,0,20
"Light ice cream, Creamsicle",0,0,1,1,165,3.1,1.54,0,62,46,174,32.75,0,2,18.46
"Toppings, marshmallow cream",0,0,1,1,322,0.3,0.8,0.22,3,80,5,79,0.1,0,46.8
"Fish, raw, Pacific, herring",0,1,1,0,195,14,16.39,1.12,83,74,423,0,0,0,0
"Sandwich spread, beef, pork",0,0,1,1,235,17,7.66,0.79,12,1013,110,11.94,0.2,22,0
"Nuts, hazelnuts or filberts",0,0,1,1,628,61,14.95,4.7,114,0,680,16.7,9.7,0,4.34
"Babyfood, teething biscuits",1,1,1,0,392,4.2,10.7,3.55,263,285,323,76.4,1.4,21,12.65
"PACE, Organic Picante Sauce",0,1,1,1,25,0,0,0,0,688,0,6.25,3.1,0,6.25
"Peppers, raw, yellow, sweet",0,1,1,1,27,0.2,1,0.46,11,2,212,6.32,0.9,0,0
"Fish, raw, florida, pompano",0,1,1,1,164,9.5,18.48,0.6,22,65,381,0,0,439,0
"Potato salad, home-prepared",1,0,0,1,143,8.2,2.68,0.65,19,529,254,11.17,1.3,0,0
"GIRL SCOUTS, Chalet Cookies",1,0,0,0,478,19,4.2,3.3,0,247,68,72.3,1.5,0,35.4
"GIRL SCOUTS, Samoas Cookies",1,0,1,0,489,26,3.5,3.2,0,182,195,64.1,4.4,0,35.8
"Cheese, semisoft type, goat",0,0,1,0,364,30,21.58,1.62,298,415,158,0.12,0,22,0.12
"Game meat, raw, ground, elk",0,0,1,0,172,8.8,21.76,2.75,12,79,322,0,0,0,0
"Candies, unsweetened, carob",0,0,1,0,540,31,8.15,1.29,303,107,633,56.29,3.8,0,34.11
"Babyfood, toddler, potatoes",0,0,1,0,52,0.1,1,0.2,4,57,110,11.73,0.9,0,0.91
"Veal, cooked, seam fat only",1,0,0,0,505,50,11.16,1.15,43,87,155,2.11,0,181,0
"Sauce, ready-to-serve, duck",0,0,1,0,245,0.1,0.36,0.39,11,455,87,60.61,0.6,0,30.54
"Corn dogs, prepared, frozen",0,1,1,,250,12,8.57,1.9,72,668,125,26.96,1,15,7.54
"Seeds, paste, sesame butter",1,0,0,0,586,51,18.08,19.2,960,12,582,24.05,5.5,0,0
"Noodles, enriched, dry, egg",1,0,0,0,384,4.4,14.16,4.01,35,21,244,71.27,3.3,11,1.88
"Persimmons, dried, japanese",0,1,1,0,274,0.6,1.38,0.74,25,2,802,73.43,14.5,0,0
"Carrots, unprepared, frozen",1,0,0,0,36,0.5,0.78,0.44,36,68,235,7.9,3.3,0,4.76
"Carambola, raw, (starfruit)",0,1,1,0,31,0.3,1.04,0.08,3,2,133,6.73,2.8,0,3.98
"Fast foods, chicken tenders",0,1,1,0,271,14,19.22,0.73,17,769,373,17.25,1.2,7,0.4
"Beans, home prepared, baked",0,1,1,0,155,5.2,5.54,1.99,61,422,358,21.63,5.5,0,0
"Cream, half and half, fluid",1,0,0,0,123,10,3.13,0.05,107,61,132,4.73,0,2,4.13
"SILK Light Vanilla, soymilk",1,0,0,0,33,0.8,2.47,0.44,123,39,123,4.12,0.4,49,2.88
"Turnips, unprepared, frozen",1,1,1,0,16,0.2,1.04,0.7,23,25,137,2.94,1.8,0,0
"PACE, Cilantro Chunky Salsa",0,0,1,0,25,0,0,0,0,844,0,6.25,3.1,0,6.25
"PACE, Chipotle Chunky Salsa",1,0,0,0,25,0,0,0,0,719,0,6.25,3.1,0,6.25
"Jams and preserves, apricot",1,0,1,0,242,0.2,0.7,0.49,20,40,77,64.4,0.3,0,43.4
"Butter, with salt, whipped",1,0,0,0,718,78,0.49,0.05,23,583,41,2.87,0,0,0.06
"Ham, cooked, smoked, honey",0,1,1,0,122,2.4,17.93,0.39,6,900,165,7.27,0,0,0
"Spaghetti, cooked, spinach",1,0,0,0,130,0.6,4.58,1.04,30,14,58,26.15,0,0,0
"Bockwurst, raw, veal, pork",0,1,1,0,301,26,14.03,1.15,41,756,270,2.95,1,0,1.33
"Guinea hen, raw, meat only",1,0,0,0,110,2.5,20.64,0.77,11,69,220,0,0,0,0
"Cookies, soft-type, raisin",0,1,1,0,401,14,4.1,2.29,46,418,140,68,1.2,0,47.56
"Squash, raw, acorn, winter",1,0,0,0,40,0.1,0.8,0.7,33,3,347,10.42,1.5,0,0
"Candies, KIT KAT Wafer Bar",0,1,1,0,518,26,6.51,1,125,54,231,64.59,1,0,48.68
"Peppers, raw, green, sweet",0,1,1,1,20,0.2,0.86,0.34,10,3,175,4.64,1.7,0,2.4
"Turkey sausage, raw, fresh",0,0,1,1,155,8.1,18.79,1.17,19,593,262,0.47,0,0,0
"DENNY'S, top sirloin steak",0,0,1,0,182,7.3,28.9,3.27,6,349,341,0.14,0,0,0
"Pomegranate juice, bottled",0,0,1,0,54,0.3,0.15,0.1,11,9,214,13.13,0.1,0,12.65
"Nance, unsweetened, frozen",0,1,1,0,73,1.2,0.66,0.38,46,3,244,16.97,7.5,0,8.31
"Sauce, sriracha, hot chile",0,1,1,1,93,0.9,1.93,1.64,18,2124,321,19.16,2.2,0,15.11
"Bread, toasted, wheat germ",0,1,1,0,293,3.3,10.7,3.88,100,621,285,54.3,2.3,0,4.14
"Bread, kneel down (Navajo)",0,1,1,1,195,2.2,4.29,1.11,5,126,320,39.47,0,0,3.74
"Vegetable oil, palm kernel",0,1,1,0,862,100,0,0,0,0,0,0,0,0,0
"Fish, raw, chinook, salmon",0,1,1,0,179,10,19.93,0.25,26,47,394,0,0,0,0
"Milk, fluid, mature, human",1,0,1,0,70,4.4,1.03,0.03,32,17,51,6.89,0,3,6.89
"Pork, pickled, feet, cured",1,0,1,0,140,10,11.63,0.31,32,946,13,0.01,0,16,0
"Canadian bacon, unprepared",1,1,1,0,110,2.6,20.31,0.44,6,751,683,1.34,0,6,0.9
"Cake, dry mix, gingerbread",1,1,1,0,437,14,4.4,4.7,94,657,341,74.6,1.7,0,46.62
"BURGER KING, Vanilla Shake",1,0,0,0,168,8.7,3.19,0.42,104,100,153,19.03,0,0,11.67
"Cheese, shredded, parmesan",0,1,1,0,415,27,37.86,0.87,1253,1696,97,3.41,0,21,0.9
"Pumpkin, with salt, canned",1,1,1,0,34,0.3,1.1,1.39,26,241,206,8.09,2.9,0,3.3
"KEEBLER, Crackers, ANIMALS",1,1,1,0,450,14,5.6,3.3,345,468,74,75.3,1.4,0,25.4
"Game meat, raw, wild, boar",1,0,0,0,122,3.3,21.51,0,12,0,0,0,0,0,0
"Rolls, whole-wheat, dinner",0,1,1,0,266,4.7,8.7,2.42,106,521,272,51.1,7.5,0,8.46
"Cheese, nonfat, mozzarella",1,1,1,0,141,0,31.7,0.31,961,743,106,3.5,1.8,0,1.48
"KFC, Crispy Chicken Strips",1,0,0,0,274,15,20.25,0.69,25,948,333,13.66,1.4,0,0
"Ice creams, light, vanilla",0,1,1,0,180,4.8,4.78,0.19,161,74,208,29.46,0.3,4,22.12
"Ostrich, raw, inside strip",1,0,0,0,127,2.9,23.69,4.2,5,76,330,0,0,0,0
"SILK Very Vanilla, soymilk",1,1,1,0,53,1.7,2.47,0.44,144,58,123,7.82,0.4,49,6.58
"Fish, raw, sockeye, salmon",1,0,0,1,131,4.7,22.25,0.43,9,78,367,0,0,563,0
"Fast foods, scrambled, egg",1,1,0,0,212,16,13.84,2.59,57,187,147,2.08,0,46,1.64
"Snacks, salted, pita chips",1,1,1,0,457,15,11.79,4.59,17,854,129,68.26,3.8,0,4.76
"Taro, without salt, cooked",0,1,1,0,142,0.1,0.52,0.72,18,15,484,34.6,5.1,0,0.49
"Bratwurst, cooked, chicken",1,0,0,0,176,10,19.44,0.87,11,72,211,0,0,0,0
"Gravy, chicken, CAMPBELL'S",1,1,1,0,51,2.7,0.79,0.12,12,424,55,5.87,0,0,0.94
"Fast foods, mashed, potato",1,0,0,0,89,2.8,1.65,0.31,18,306,286,14.65,1.3,0,0.5
"OSCAR MAYER, Salami (hard)",1,0,0,0,368,29,25.9,1.83,12,1976,356,1.6,0,62,0.2
"Gravy, dry, instant turkey",1,0,0,0,409,15,11.72,9.57,115,4090,306,57.56,3.8,0,7.6
"Sorghum flour, whole-grain",0,1,1,0,359,3.3,8.43,3.14,12,3,324,76.64,6.6,0,1.94
"Milk shakes, thick vanilla",0,1,1,1,112,3,3.86,0.1,146,95,183,17.75,0,48,17.75
"MOTHER'S, Macaroon Cookies",1,0,0,0,552,34,6.1,2.4,0,284,152,55.7,4.1,0,25.4
"PACE, Thick & Chunky Salsa",0,1,1,0,25,0,0,0,0,719,0,6.25,3.1,0,6.25
"Egg, omelet, cooked, whole",0,1,1,0,154,12,10.57,1.48,48,155,117,0.64,0,69,0.31
"Java-plum, raw, (jambolan)",0,1,1,0,60,0.2,0.72,0.19,19,14,79,15.56,0,0,0
"Snacks, regular, trail mix",1,0,0,0,462,29,13.8,3.05,78,229,685,44.9,0,0,0
"Puddings, dry mix, tapioca",1,0,0,0,369,0.1,0.1,0.12,4,477,5,94.3,0.2,0,65
"Dip, original flavor, bean",1,0,0,0,119,3.7,5.44,1.6,26,443,368,15.89,4.9,0,0.99
"SWANSON, Chicken A La King",1,1,0,0,71,4,4.7,0,0,460,0,4.03,0.7,0,0.67
"McDONALD'S, Barbeque Sauce",0,1,1,1,165,1.2,1.55,0.4,11,910,197,36.93,1.3,0,34.31
"Pasta, cooked, whole-wheat",0,1,1,1,149,1.7,5.99,1.72,13,4,96,30.07,3.9,0,0.75
"Sauce, tomato based, steak",0,0,1,1,95,0.2,1.25,1.37,19,1647,312,22.04,1.5,0,9.82
"Mushrooms, dried, shiitake",0,1,1,1,296,1,9.58,1.72,11,13,1534,75.37,11.5,154,2.21
"Cream substitute, powdered",0,1,1,0,529,33,2.48,0.26,2,124,669,59.29,0,0,7.77
"Carissa, raw, (natal-plum)",0,0,1,1,62,1.3,0.5,1.31,11,3,260,13.63,0,0,0
"Beverages, chocolate syrup",0,0,1,1,279,1.1,2.1,2.11,14,72,224,65.1,2.6,0,49.65
"Mayonnaise, made with tofu",0,1,1,0,322,32,5.95,0.27,53,773,66,3.06,1.1,0,0.85
"Frankfurter, low fat, beef",0,0,1,1,233,9.5,12,1.15,8,744,129,1.6,0,24,0.85
"Babyfood, toddler, carrots",0,0,1,1,26,0.3,0.6,0.2,19,48,129,5.23,2.3,0,2.5
"Snacks, plain, bagel chips",1,1,1,0,451,15,12.34,5.05,24,233,140,66.36,4.1,0,6.02
SILK Strawberry soy yogurt,0,1,1,1,94,1.2,2.35,0.64,176,15,0,18.24,0.6,0,12.94
"Fish, raw, american, shad",0,1,1,1,197,14,16.93,0.97,47,51,384,0,0,190,0
"Fish, raw, rainbow, smelt",0,1,1,1,97,2.4,17.63,0.9,60,60,290,0,0,31,0
"Bread, unenriched, raisin",1,0,0,1,274,4.4,7.9,1.83,66,390,227,52.3,4.3,0,0
"Cheese, low sodium, swiss",1,0,0,0,374,27,28.4,0.17,961,14,111,3.4,0,20,1.31
"Bagels, whole grain white",1,0,1,0,255,0,9.3,4.19,93,372,176,54.52,4.7,0,9.3
Ice cream cookie sandwich,0,0,1,0,240,7.4,3.7,1.1,73,162,68,39.6,1.2,0,21.3
"Apples, without skin, raw",0,0,1,0,48,0.1,0.27,0.07,5,0,90,12.76,1.3,0,10.1
"Tomatoes, canned, crushed",0,0,1,0,32,0.3,1.64,1.3,34,186,293,7.29,1.9,0,4.4
"Chrysanthemum leaves, raw",0,0,1,0,24,0.6,3.36,2.3,117,118,567,3.01,3,0,0
"Lentils, raw, pink or red",1,0,0,0,358,2.2,23.91,7.39,48,7,668,63.1,10.8,0,0
"Barbecue loaf, beef, pork",0,0,1,0,173,8.9,15.84,1.16,55,1334,329,6.4,0,36,0
"Quail, raw, meat and skin",0,1,1,,192,12,19.63,3.97,13,53,216,0,0,0,0
"Bologna, meat and poultry",1,0,0,0,281,24,10.34,1.24,125,1379,320,6.31,0,34,1.97
"Bacon, low sodium, turkey",1,0,0,0,253,20,13.33,0.72,10,900,156,4.8,0,10,0
"Corned beef loaf, jellied",0,1,1,0,153,6.1,22.9,2.04,11,953,101,0,0,0,0
"TACO BELL, Nachos Supreme",1,0,0,0,223,12,6.21,1.01,47,348,298,21.39,3.7,0,1.63
"Mustard, yellow, prepared",0,1,1,0,60,3.3,3.74,1.61,63,1104,152,5.83,4,0,0.92
"Rhubarb, uncooked, frozen",0,1,1,0,21,0.1,0.55,0.29,194,2,108,5.1,1.8,0,1.1
"BURGER KING, french fries",0,1,1,0,280,12,3.23,0.73,17,279,467,38.7,2.9,0,0.51
"Bread, toasted, rice bran",1,0,0,0,264,5,9.7,3.92,75,292,212,47.3,5.3,0,5.08
"Broccoli, cooked, chinese",1,0,0,0,22,0.7,1.14,0.56,100,7,261,3.81,2.5,0,0.84
"Nuts, raw, macadamia nuts",1,1,1,0,718,76,7.91,3.69,85,5,368,13.82,8.6,0,4.57
"Candies, MOUNDS Candy Bar",0,0,1,0,486,27,4.6,2.09,21,145,321,58.59,3.7,0,46.19
"Ice creams, rich, vanilla",1,0,0,0,249,16,3.5,0.34,117,61,157,22.29,0,12,20.65
"Ostrich, raw, outside leg",1,0,1,0,115,2,22.86,2.65,5,90,322,0,0,0,0
"Fish, raw, orange, roughy",1,0,0,0,76,0.7,16.41,1.01,9,72,167,0,0,0,0
"Lemons, without peel, raw",0,1,1,0,29,0.3,1.1,0.6,26,2,138,9.32,2.8,0,2.5
"Nuts, raw, pistachio nuts",1,0,0,0,560,45,20.16,3.92,105,1,1025,27.17,10.6,0,7.66
"Egg, fried, cooked, whole",0,1,1,0,196,15,13.61,1.89,62,207,152,0.83,0,88,0.4
"Mammy-apple, raw, (mamey)",1,0,0,0,51,0.5,0.5,0.7,11,15,47,12.5,3,0,0
"Snacks, plain, pork skins",0,1,1,0,544,31,61.3,0.88,30,1818,127,0,0,0,0
"Edamame, prepared, frozen",1,0,0,0,121,5.2,11.91,2.27,63,6,436,8.91,5.2,0,2.18
"Sandwich spread, meatless",0,1,1,0,149,9,8,1.5,44,630,340,9,3.3,0,1.9
"Luncheon slices, meatless",0,1,1,1,189,11,17.78,1.8,41,711,200,4.44,1.1,0,2.22
"KEEBLER, Cookies, ANIMALS",0,0,1,1,450,14,5.6,3.3,375,468,74,75.3,1.4,0,25.4
"Vermicelli, made from soy",0,0,1,0,331,0.1,0.1,1.81,55,4,3,82.32,3.9,0,17.44
"Frozen yogurts, chocolate",0,0,1,0,127,3.6,3,0.46,100,63,234,21.6,2.3,3,19.24
"Mountain yam, raw, hawaii",0,1,1,0,67,0.1,1.34,0.44,26,13,418,16.3,2.5,0,0.31
"PACE, Salsa Refried Beans",0,1,1,1,60,0,3.33,0.9,33,492,0,11.67,3.3,0,3.33
Campbell's Pork and Beans,0,1,1,0,108,1.2,4.62,1.11,31,338,0,19.23,5.4,0,6.15
"PACE, Triple Pepper Salsa",0,1,1,1,47,0,3.13,0,0,594,0,9.38,3.1,0,6.25
"Cheese, low fat, muenster",0,1,1,0,271,18,24.7,0.41,529,600,134,3.5,0,13,3.5
"Dessert topping, powdered",0,1,1,0,577,40,4.9,0.03,17,122,166,52.54,0,0,52.54
"Gravy, turkey, CAMPBELL'S",1,0,1,0,42,1.7,1.69,0,0,458,0,5.08,0,0,1.69
"SILK Unsweetened, soymilk",1,0,1,0,33,1.7,2.88,0.44,123,35,123,1.65,0.4,0,0.41
"PACE, Diced Green Chilies",1,1,1,0,27,0,0,0,0,333,0,6.67,3.3,0,3.33
"Blueberries, frozen, wild",1,1,1,0,57,0.2,0,0.58,17,3,68,13.85,4.4,0,0
"Lupins, raw, mature seeds",1,0,0,0,371,9.7,36.17,4.36,176,15,1013,40.37,18.9,0,0
"Agave, cooked (Southwest)",0,1,1,0,135,0.3,0.99,3.55,460,13,59,32,10.6,0,20.87
"Cookies, coconut macaroon",1,1,1,0,460,23,3.02,0.82,5,241,123,61.22,5.1,0,45.16
"Avocados, California, raw",1,1,1,0,167,15,1.96,0.61,13,8,507,8.64,6.8,0,0.3
"Crackers, rye, crispbread",1,0,0,0,366,1.3,7.9,2.43,31,410,319,82.2,16.5,0,1.07
"Pork, raw, backfat, fresh",0,1,1,0,812,89,2.92,0.18,2,11,65,0,0,122,0
"Crackers, regular, cheese",1,1,1,0,489,23,10.93,4.88,136,973,156,59.42,2.3,1,4.53
"Gravy, au jus, CAMPBELL'S",1,0,0,0,8,0,1.69,0,0,0,0,0,0,0,0
"Seaweed, dried, spirulina",0,1,1,0,290,7.7,57.47,28.5,120,1048,1363,23.9,3.6,0,3.1
"Cookies, dry mix, oatmeal",1,0,0,0,462,19,6.5,2.22,25,473,183,67.3,0,0,0
"Chicken, no broth, canned",1,1,1,0,185,8.1,25.3,1.3,14,482,153,0.9,0,5,0
"McDONALD'S, BIG BREAKFAST",1,0,0,1,285,19,10.16,1.74,51,549,207,17.5,1.1,0,0.93
"Crackers, low salt, wheat",1,1,0,0,473,21,8.6,4.4,49,190,203,64.9,4.5,0,13.04
